kol_name,ticker,sector,sentiment,confidence,prediction_time,video_id,title,company,sentiment_score
Invest with Henry,GS,Financials,positive,1.0,2024-12-27 21:16:52+00:00,BfZjRQ6k49E,Selling Put Options for Beginners FULL FREE COURSE (2+ Hours),Goldman Sachs,0.7
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-12-27 21:16:52+00:00,BfZjRQ6k49E,Selling Put Options for Beginners FULL FREE COURSE (2+ Hours),Nvidia,0.8
Invest with Henry,MSFT,Information Technology,positive,1.0,2024-12-27 21:16:52+00:00,BfZjRQ6k49E,Selling Put Options for Beginners FULL FREE COURSE (2+ Hours),Microsoft,1.0
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-12-26 19:44:32+00:00,wpZdY0eR4WU,If You Hold PALANTIR STOCK (PLTR) ... GET READY,Nvidia,0.5
Invest with Henry,GS,Financials,negative,1.0,2024-12-26 19:44:32+00:00,wpZdY0eR4WU,If You Hold PALANTIR STOCK (PLTR) ... GET READY,Goldman Sachs,-0.7
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-12-21 16:58:24+00:00,RfHcqSqrsUs,URGENT: WATCH BEFORE MONDAY 930am! #SOFI #SPY #TSLA #PLTR #NVDA #AMD,Nvidia,1.0
Invest with Henry,AMZN,Consumer Discretionary,positive,0.9,2024-12-21 16:58:24+00:00,RfHcqSqrsUs,URGENT: WATCH BEFORE MONDAY 930am! #SOFI #SPY #TSLA #PLTR #NVDA #AMD,Amazon,0.7
Invest with Henry,GS,Financials,negative,0.9,2024-12-21 16:58:24+00:00,RfHcqSqrsUs,URGENT: WATCH BEFORE MONDAY 930am! #SOFI #SPY #TSLA #PLTR #NVDA #AMD,Goldman Sachs,-0.7
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-12-20 14:45:03+00:00,hRn5OZWKlso,"These 2 Stocks Are About to EXPLODE, Says Tom Lee",Nvidia,1.0
Invest with Henry,MS,Financials,negative,1.0,2024-12-20 14:45:03+00:00,hRn5OZWKlso,"These 2 Stocks Are About to EXPLODE, Says Tom Lee",Morgan Stanley,0.0
Invest with Henry,AVGO,Information Technology,negative,0.9,2024-12-20 14:45:03+00:00,hRn5OZWKlso,"These 2 Stocks Are About to EXPLODE, Says Tom Lee",Broadcom,0.0
Invest with Henry,NVDA,Information Technology,positive,0.95,2024-12-18 21:50:46+00:00,XpWMjvWVz_U,Why I'm Buying Nvidia Stock (NVDA) NOW - Analysts Are WRONG,Nvidia,0.9
